,individualID,domainID,siteID,plotID,subplotID,pointID,stemDistance,stemAzimuth,scientificName,taxonRank,adjNorthing,adjEasting,adjCoordinateUncertainty,adjDecimalLatitude,adjDecimalLongitude,adjElevation,adjElevationUncertainty,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter
2578,NEON.PLA.D17.SOAP.04574,D17,SOAP,SOAP_007,41.0,,,,Chamaebatia foliolosa Benth.,species,,,,,,,,small shrub,Live,,,0.3,0.1,,,0.1,0.1,,ellipsoid or sphere,1.0,10.0,,,,,,,,
2579,NEON.PLA.D17.SOAP.04575,D17,SOAP,SOAP_007,41.0,,,,Arctostaphylos viscida Parry ssp. mariposa (Dudley) P.V. Wells,subspecies,,,,,,,,small shrub,Live,,,1.1,0.1,,,0.8,0.3,,ellipsoid or sphere,1.9,10.0,,,,,,,,
2580,NEON.PLA.D17.SOAP.04576,D17,SOAP,SOAP_007,41.0,,,,Arctostaphylos viscida Parry ssp. mariposa (Dudley) P.V. Wells,subspecies,,,,,,,,single shrub,Live,7.8,130.0,2.7,,,,2.6,2.4,,inverted cone,10.2,10.0,0.5,0.3,,,,,,
2581,NEON.PLA.D17.SOAP.04577,D17,SOAP,SOAP_007,41.0,,,,Arctostaphylos viscida Parry ssp. mariposa (Dudley) P.V. Wells,subspecies,,,,,,,,single shrub,Live,7.7,130.0,2.8,0.3,,,4.8,3.1,,ellipsoid or sphere,11.6,10.0,,,,,,,,
2582,NEON.PLA.D17.SOAP.04578,D17,SOAP,SOAP_007,41.0,,,,Arctostaphylos viscida Parry ssp. mariposa (Dudley) P.V. Wells,subspecies,,,,,,,,small shrub,Live,,,1.0,0.2,,,1.3,0.5,,ellipsoid or sphere,2.3,10.0,,,,,,,,
2583,NEON.PLA.D17.SOAP.04579,D17,SOAP,SOAP_007,31.0,,,,Chamaebatia foliolosa Benth.,species,,,,,,,,small shrub,Live,,,0.5,0.3,,,0.5,0.4,,ellipsoid or sphere,1.0,10.0,,,,,,,,
2584,NEON.PLA.D17.SOAP.04580,D17,SOAP,SOAP_007,31.0,,,,Chamaebatia foliolosa Benth.,species,,,,,,,,small shrub,Live,,,0.8,0.2,,,0.8,0.4,,ellipsoid or sphere,1.0,10.0,,,,,,,,
2585,NEON.PLA.D17.SOAP.04581,D17,SOAP,SOAP_007,31.0,,,,Arctostaphylos viscida Parry ssp. mariposa (Dudley) P.V. Wells,subspecies,,,,,,,,small shrub,Standing dead,,,0.8,0.2,,,1.4,0.4,,ellipsoid or sphere,5.3,10.0,,,,,,,,
2586,NEON.PLA.D17.SOAP.04582,D17,SOAP,SOAP_007,31.0,,,,Unknown plant,kingdom,,,,,,,,single shrub,Live,1.4,130.0,2.1,0.1,,,1.7,1.4,,ellipsoid or sphere,3.1,10.0,,,,,,,,
2587,NEON.PLA.D17.SOAP.04583,D17,SOAP,SOAP_007,31.0,,,,Unknown plant,kingdom,,,,,,,,single shrub,Live,1.2,130.0,2.2,0.4,,,1.9,1.8,,ellipsoid or sphere,3.0,10.0,,,,,,,,
2588,NEON.PLA.D17.SOAP.04584,D17,SOAP,SOAP_007,31.0,,,,Arctostaphylos viscida Parry ssp. mariposa (Dudley) P.V. Wells,subspecies,,,,,,,,single shrub,Live,5.4,130.0,1.9,0.3,,,3.4,3.2,,ellipsoid or sphere,8.7,10.0,,,,,,,,
2589,NEON.PLA.D17.SOAP.04585,D17,SOAP,SOAP_007,40.0,,,,Chamaebatia foliolosa Benth.,species,,,,,,,,small shrub,Live,,,0.7,0.2,,,0.8,0.4,,ellipsoid or sphere,1.0,10.0,,,,,,,,
2590,NEON.PLA.D17.SOAP.04586,D17,SOAP,SOAP_007,40.0,,,,Chamaebatia foliolosa Benth.,species,,,,,,,,small shrub,Live,,,1.6,0.1,,,0.5,0.3,,ellipsoid or sphere,1.2,10.0,,,,,,,,
2591,NEON.PLA.D17.SOAP.04588,D17,SOAP,SOAP_007,40.0,,,,Chamaebatia foliolosa Benth.,species,,,,,,,,small shrub,Live,,,0.3,,,,0.7,0.6,,inverted cone,1.0,10.0,0.2,0.1,,,,,,
2592,NEON.PLA.D17.SOAP.04588,D17,SOAP,SOAP_007,40.0,,,,Chamaebatia foliolosa Benth.,species,,,,,,,,small shrub,Live,,,0.3,,,,0.7,0.6,,inverted cone,1.0,10.0,0.2,0.1,,,,,,
2593,NEON.PLA.D17.SOAP.04590,D17,SOAP,SOAP_007,40.0,,,,Chamaebatia foliolosa Benth.,species,,,,,,,,small shrub,Live,,,0.5,,,,1.1,0.4,,inverted cone,1.0,10.0,0.1,0.1,,,,,,
2594,NEON.PLA.D17.SOAP.04590,D17,SOAP,SOAP_007,40.0,,,,Chamaebatia foliolosa Benth.,species,,,,,,,,small shrub,Live,,,0.5,,,,1.1,0.4,,inverted cone,1.1,10.0,0.1,0.1,,,,,,
2595,NEON.PLA.D17.SOAP.04592,D17,SOAP,SOAP_007,40.0,,,,Chamaebatia foliolosa Benth.,species,,,,,,,,small shrub,Live,,,0.6,0.2,,,0.6,0.5,,ellipsoid or sphere,1.3,10.0,,,,,,,,
2596,NEON.PLA.D17.SOAP.04593,D17,SOAP,SOAP_007,40.0,,,,Arctostaphylos viscida Parry ssp. mariposa (Dudley) P.V. Wells,subspecies,,,,,,,,single shrub,Live,2.9,130.0,2.2,0.8,,,2.6,0.9,,ellipsoid or sphere,5.8,10.0,,,,,,,,
2597,NEON.PLA.D17.SOAP.04595,D17,SOAP,SOAP_007,40.0,,,,Arctostaphylos viscida Parry ssp. mariposa (Dudley) P.V. Wells,subspecies,,,,,,,,small shrub,"Live, physically damaged",,,0.8,0.2,,,0.4,0.4,,ellipsoid or sphere,1.3,10.0,,,,,,,,
2598,NEON.PLA.D17.SOAP.04596,D17,SOAP,SOAP_007,40.0,,,,Calocedrus decurrens (Torr.) Florin,species,,,,,,,,sapling,Live,,,0.9,,,,,,,,1.6,10.0,,,,,,,,
2599,NEON.PLA.D17.SOAP.04597,D17,SOAP,SOAP_007,40.0,,,,Ceanothus integerrimus Hook. & Arn.,species,,,,,,,,small shrub,Live,,,1.9,0.3,,,2.2,1.6,,ellipsoid or sphere,3.0,10.0,,,,,,,,
2600,NEON.PLA.D17.SOAP.04598,D17,SOAP,SOAP_007,40.0,,,,Ceanothus integerrimus Hook. & Arn.,species,,,,,,,,small shrub,Live,,,1.0,,,,1.1,0.8,,inverted cone,1.8,10.0,0.3,0.4,,,,,,
2601,NEON.PLA.D17.SOAP.04599,D17,SOAP,SOAP_007,40.0,,,,Ceanothus integerrimus Hook. & Arn.,species,,,,,,,,small shrub,Live,,,2.0,,,,1.3,1.2,,inverted cone,1.6,10.0,0.2,0.1,,,,,,
2602,NEON.PLA.D17.SOAP.04599,D17,SOAP,SOAP_007,40.0,,,,Ceanothus integerrimus Hook. & Arn.,species,,,,,,,,small shrub,Live,,,2.0,,,,1.3,1.2,,inverted cone,1.3,10.0,0.2,0.1,,,,,,
2603,NEON.PLA.D17.SOAP.04600,D17,SOAP,SOAP_007,40.0,,,,Ceanothus integerrimus Hook. & Arn.,species,,,,,,,,single shrub,Live,1.1,130.0,2.4,0.2,,,1.5,1.4,,ellipsoid or sphere,2.4,10.0,,,,,,,,
2604,NEON.PLA.D17.SOAP.04635,D17,SOAP,SOAP_003,40.0,49.0,8.6,107.2,Pinus ponderosa Lawson & C. Lawson,species,4101019.53362077,299802.862633914,0.7,37.0340568452069,-119.250855021239,1124.91,1.1,single bole tree,"Dead, broken bole",17.3,130.0,5.8,,5.8,,1.6,1.3,Full sun,,,,,,,,,,,
2605,NEON.PLA.D17.SOAP.04636,D17,SOAP,SOAP_003,40.0,49.0,10.0,90.8,Pinus ponderosa Lawson & C. Lawson,species,4101021.9370882,299804.64626524,0.7,37.034078874537,-119.25083562087,1124.91,1.1,single bole tree,"Dead, broken bole",25.2,130.0,1.8,,1.8,22.3,0.3,0.3,Full sun,,,,,,,,,,,
2606,NEON.PLA.D17.SOAP.04637,D17,SOAP,SOAP_003,40.0,49.0,2.9,128.4,Calocedrus decurrens (Torr.) Florin,species,4101020.27538144,299796.919951026,0.7,37.0340622593472,-119.250921986328,1124.91,1.1,single bole tree,Live,40.0,130.0,15.2,,,,6.0,5.6,Partially shaded,,,,,,,,,,,
2607,NEON.PLA.D17.SOAP.04638,D17,SOAP,SOAP_003,40.0,49.0,4.1,148.4,Quercus kelloggii Newberry,species,4101018.58462957,299796.795582214,0.7,37.0340470035427,-119.250922933937,1124.91,1.1,single bole tree,"Live, disease damaged",51.0,130.0,14.3,,,,10.9,10.2,Partially shaded,,,,,,,,,,,
2608,NEON.PLA.D17.SOAP.04639,D17,SOAP,SOAP_003,40.0,,,,Calocedrus decurrens (Torr.) Florin,species,,,,,,,,small tree,Standing dead,9.0,130.0,3.0,,,,1.2,0.7,,,,,,,,,,,,
2609,NEON.PLA.D17.SOAP.04641,D17,SOAP,SOAP_003,40.0,,,,Calocedrus decurrens (Torr.) Florin,species,,,,,,,,small tree,Standing dead,2.2,130.0,1.6,,,,1.1,0.9,,,,,,,,,,,,
2610,NEON.PLA.D17.SOAP.04642,D17,SOAP,SOAP_003,40.0,49.0,3.4,179.7,Calocedrus decurrens (Torr.) Florin,species,4101018.67675661,299794.665042277,0.7,37.0340473790498,-119.250946895682,1124.91,1.1,single bole tree,Standing dead,16.2,130.0,9.2,,,,2.4,2.1,Partially shaded,,,,,,,,,,,
2611,NEON.PLA.D17.SOAP.04643,D17,SOAP,SOAP_003,40.0,,,,Calocedrus decurrens (Torr.) Florin,species,,,,,,,,small tree,Standing dead,5.6,130.0,3.0,,,,1.3,0.7,,,,,,,,,,,,
2612,NEON.PLA.D17.SOAP.04643,D17,SOAP,SOAP_003,40.0,,,,Calocedrus decurrens (Torr.) Florin,species,,,,,,,,small tree,Standing dead,2.2,130.0,3.0,,,,1.3,0.7,,,,,,,,,,,,
2613,NEON.PLA.D17.SOAP.04644,D17,SOAP,SOAP_003,41.0,,,,Calocedrus decurrens (Torr.) Florin,species,,,,,,,,small tree,Standing dead,9.2,130.0,3.8,,,,2.4,2.2,,,,,,,,,,,,
2614,NEON.PLA.D17.SOAP.04645,D17,SOAP,SOAP_003,41.0,51.0,2.1,187.4,Calocedrus decurrens (Torr.) Florin,species,4101019.18541056,299814.472799247,0.7,37.0340561843401,-119.250724484987,1124.14,1.1,single bole tree,Live,14.2,130.0,9.1,,,,2.6,2.1,Full sun,,,,,,,,,,,
2615,NEON.PLA.D17.SOAP.04646,D17,SOAP,SOAP_003,40.0,,,,Calocedrus decurrens (Torr.) Florin,species,,,,,,,,small tree,Standing dead,7.1,130.0,4.7,,,,1.5,1.5,,,,,,,,,,,,
2616,NEON.PLA.D17.SOAP.04647,D17,SOAP,SOAP_003,41.0,51.0,6.4,200.4,Calocedrus decurrens (Torr.) Florin,species,4101015.26931527,299812.512408897,0.7,37.0340204924872,-119.250745469022,1124.14,1.1,single bole tree,Standing dead,12.3,130.0,6.9,,,,3.5,2.8,Partially shaded,,,,,,,,,,,
2617,NEON.PLA.D17.SOAP.04648,D17,SOAP,SOAP_003,41.0,51.0,7.5,199.8,Pinus ponderosa Lawson & C. Lawson,species,4101014.21131423,299812.202735598,0.7,37.0340108966143,-119.250748666904,1124.14,1.1,single bole tree,Standing dead,24.3,130.0,21.2,,,,2.2,1.0,Full sun,,,,,,,,,,,
2618,NEON.PLA.D17.SOAP.04649,D17,SOAP,SOAP_003,41.0,51.0,9.2,232.6,Pinus ponderosa Lawson & C. Lawson,species,4101015.68006227,299807.434655491,0.7,37.0340231095447,-119.250802628301,1124.14,1.1,single bole tree,"Dead, broken bole",18.1,130.0,3.4,,3.4,,0.3,0.2,Full sun,,,,,,,,,,,
2619,NEON.PLA.D17.SOAP.04650,D17,SOAP,SOAP_003,32.0,33.0,8.8,320.6,Pinus ponderosa Lawson & C. Lawson,species,4101008.08928545,299808.951731484,0.7,37.0339550598306,-119.250783564626,1127.79,1.1,single bole tree,"Dead, broken bole",27.8,130.0,11.0,,11.0,,1.9,0.7,Full sun,,,,,,,,,,,
2620,NEON.PLA.D17.SOAP.04651,D17,SOAP,SOAP_003,32.0,33.0,8.0,315.1,Pinus ponderosa Lawson & C. Lawson,species,4101006.9559487,299808.890387435,0.7,37.0339448383281,-119.250783952416,1127.79,1.1,single bole tree,"Dead, broken bole",19.6,130.0,6.2,,5.6,,1.4,1.1,Full sun,,,,,,,,,,,
